Neighborhood,Median 2021 home sale price ($),Average 2021 home sale price ($),Homes sold in 2021 (#),1-year median price change 2020-21 (%),5-year median price change 2016-21 (%),Days on market (average),Condo sales among home sales (#),Share of 2021 sales that were condos (%),Short sales,Bank-owned sales,Average square feet of homes sold,Average cost per square foot ($),Average year built of homes sold,Renters' median monthly housing ($),Population,Population density people per sq mile),Median age,Median household income ($),Homeownership (%),People below federal poverty level (%),Unemployed (16 years and older) (%),Households with children under 18 (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),English as only language (%),People who speak other language(s) (%),Population in same house a year before (%),Population in different Oregon county in past year (%),Population in different state in past year (%),Population moved from abroad in past year (%),Total newcomers (%),Assault,Homicide,Sex offenses,Arson,Robbery,Burglary,Larceny,Motor vehicle thefts,Vandalism,Drug/narcotic offenses,"Violent crimes per 1,000 residents","Burglary/larceny/vehicle theft crimes per 1,000 residents",Vehicle thefts per square mile,Miles of bike routes,Area of neighborhood in square miles,Miles of bike route per square mile,Park area in square miles,Parks and natural areas (% of neighborhood),Estimated time by car to downtown (min.),Number of transit lines (bus/MAX/streetcar/tram),Walk Score
ALAMEDA,877500,962231,98,15,30,11,0,0,0,0,3010,320,1930,1945,5777,9679,42,124589,82,4,4,36,57.1,3.0,10.4,0.7,28.9,37.9,37.8,92.0,8.0,87.9,1.5,3.4,0.4,5.3,7,0,3,0,2,14,79,63,32,0,2,27,105.6,0.77,0.6,1.29,0.0,0,12,3,64
ARBOR LODGE,550000,536888,170,10,28,41,24,14,0,0,1806,297,1954,1438,7289,8400,37,86530,65,8,4,25,42.9,2.4,9.5,1.2,44.1,36.7,21.1,85.0,15.0,84.7,0.4,3.1,0.7,4.2,71,0,1,7,18,48,228,144,83,5,13,58,165.9,6.35,0.87,7.31,0.02,2,10,5,79
ARDENWALD-JOHNSON CREEK,535000,637264,11,9,43,10,0,0,0,0,1921,332,1959,1798,1765,6228,41,-,84,5,5,40,61.9,3.9,10.8,1.8,21.6,33.6,34.1,88.5,11.5,86.6,1.9,4.5,0.2,6.6,5,0,0,0,0,1,0,6,5,0,3,4,17.9,2.56,0.34,7.61,0.06,17,14,6,57
ARGAY,492000,479252,82,16,52,15,7,9,0,0,2096,229,1968,934,5763,2807,41,54267,50,24,6,25,27.7,5.7,17.1,3.4,46.2,11.9,6.1,82.7,17.3,66.3,16.7,4.9,0.3,21.9,107,2,5,3,7,37,255,137,87,2,22,74,66.7,5.92,2.05,2.88,0.09,5,18,5,44
ARLINGTON HEIGHTS,1016306,1196340,18,15,17,41,0,0,0,0,3614,331,1958,1200,1932,2365,52,161392,82,3,2,20,63.3,4.6,8.4,0.2,23.6,34.8,46.8,87.0,13.0,92.5,0.4,2.6,1.5,4.5,2,0,0,0,1,6,60,1,19,0,2,35,1.2,1.51,0.82,1.84,0.51,63,12,6,35
ARNOLD CREEK,767700,801380,71,16,34,18,0,0,0,0,2752,291,1981,1505,2808,2567,43,142929,91,5,1,37,68.6,2.3,9.5,0.4,19.1,42.3,36.5,92.6,7.4,88.3,1.9,1.8,0.6,4.3,6,0,0,0,0,5,12,3,0,0,2,7,2.7,0.26,1.1,0.24,0.03,3,16,1,20
ASHCREEK,604500,635722,108,21,33,18,6,6,0,0,2148,296,1976,1763,4911,4474,43,107840,86,3,4,29,53.9,4.5,20.3,0.3,21.1,35.2,31.4,92.5,7.5,84.5,2.6,4.1,0.5,7.3,25,0,3,0,1,8,59,16,11,0,6,17,13.4,1.64,1.19,1.37,0.02,2,16,8,35
BEAUMONT-WILSHIRE,750000,845648,135,10,33,14,1,1,0,0,2569,329,1938,1483,6219,8166,41,124950,89,3,2,36,57.5,2.2,8.7,1.4,30.3,37.2,31.5,88.7,11.3,89.5,1.2,1.9,0.1,3.2,0,1,0,0,4,28,101,59,24,0,1,30,77.5,4.41,0.76,5.8,0.02,3,14,3,78
BOISE,580000,615073,83,10,16,27,20,24,0,0,1869,329,1945,1557,4726,11045,34,84168,33,14,3,14,31.7,1.3,12.0,0.8,54.1,41.9,25.4,88.2,11.8,71.7,2.7,10.2,1.7,14.6,41,0,3,8,3,60,191,147,67,0,12,84,343.6,2.19,0.43,5.13,0.01,2,9,7,93
BRENTWOOD-DARLINGTON,412000,427386,300,13,45,18,15,5,0,0,1403,305,1966,1460,13127,7525,38,63721,68,11,5,28,41.9,3.9,15.5,2.0,36.8,21.6,10.6,71.7,28.3,86.3,1.7,3.4,0.3,5.5,159,0,13,5,14,54,172,95,78,8,15,24,54.2,6.3,1.75,3.6,0.08,4,20,4,65
BRIDGETON,374000,406027,30,21,39,45,5,17,0,0,1684,241,1991,1595,63,235,44,73026,65,11,1,19,43.6,2.6,11.7,3.5,38.5,26.2,9.5,75.1,24.9,83.7,1.5,2.4,0.1,4.0,18,0,0,0,1,6,67,37,21,0,300,1736,137.3,3.14,0.27,11.64,0.0,1,15,2,22
BRIDLEMILE*,815000,932180,89,17,38,17,0,0,0,0,2811,332,1973,1150,4899,3509,45,115224,73,10,3,32,58.8,4.4,10.2,1.0,25.7,29.2,40.8,88.6,11.4,87.4,3.6,4.1,0.7,8.4,13,0,3,0,2,10,53,13,21,0,4,16,11.2,2.34,1.16,2.01,0.05,4,13,5,41
BROOKLYN,553078,582640,60,10,23,18,0,0,0,0,2048,285,1933,1244,7910,4607,40,85869,55,9,5,27,45.5,2.6,14.5,1.5,35.9,35.8,28.4,92.2,7.8,81.8,5.7,5.7,0.8,12.2,36,0,3,1,12,58,161,60,57,0,7,35,35.0,4.83,1.72,2.82,0.05,3,9,9,82
BUCKMAN,662500,661199,73,16,25,14,15,21,0,0,2192,302,1933,1230,8943,7749,34,50041,12,21,4,8,22.7,1.4,12.1,3.0,60.8,38.6,18.1,91.4,8.6,68.2,5.8,7.4,0.4,13.6,246,2,16,14,28,223,828,280,403,3,34,149,242.7,9.42,1.15,8.17,0.02,2,7,12,92
CATHEDRAL PARK,498750,487623,100,30,73,14,23,23,0,0,1680,290,1962,1245,5113,4984,35,72427,56,12,3,23,34.9,3.9,15.0,1.1,45.1,32.6,18.6,86.5,13.5,81.6,1.3,5.4,0.2,6.9,37,2,2,4,5,20,98,71,35,0,10,37,69.2,2.03,1.03,1.98,0.1,10,22,4,80
CENTENNIAL,390000,380861,385,15,56,19,43,11,1,2,1478,258,1968,1136,24061,7370,35,50517,60,21,7,37,44.0,5.0,13.7,2.0,35.3,10.9,4.1,60.3,39.7,83.2,2.7,1.6,0.7,4.9,468,4,21,0,43,108,486,231,244,12,22,34,70.8,7.23,3.26,2.22,0.13,4,25,4,58
COLLINS VIEW,608750,749370,46,11,43,21,0,0,0,0,2459,305,1969,1595,2118,2437,32,130675,86,9,5,32,49.6,1.7,4.9,0.3,43.3,36.1,38.2,87.2,12.8,79.1,5.6,8.6,1.1,15.3,9,0,0,0,0,9,22,3,0,0,4,16,3.5,1.62,0.87,1.86,0.01,1,14,4,25
CONCORDIA,629900,626228,227,18,37,24,15,7,0,1,2099,298,1944,1704,10246,7723,38,104513,77,6,4,31,44.2,2.9,11.2,1.8,39.9,34.7,24.1,92.2,7.8,88.0,1.9,4.1,0.2,6.2,50,0,1,1,13,41,228,139,60,0,6,40,104.8,2.8,1.33,2.11,0.04,3,15,4,76
CRESTON-KENILWORTH,525000,547946,131,6,24,12,10,8,0,0,1880,292,1950,1169,8958,11160,34,61972,41,14,5,25,33.2,2.6,11.2,3.2,49.9,32.3,16.7,86.4,13.6,79.3,3.2,4.7,0.5,8.4,95,2,5,6,9,56,284,132,85,2,13,53,164.5,4.17,0.8,5.2,0.04,4,12,7,81
CRESTWOOD,529000,561229,39,11,27,9,0,0,0,0,1828,307,1981,1781,1503,4454,43,109022,87,3,4,30,54.5,4.5,20.5,0.3,20.1,35.2,31.3,92.4,7.6,85.1,2.3,4.1,0.5,7.0,3,0,0,0,1,2,20,4,1,0,3,17,11.9,0.0,0.34,0.0,0.09,26,16,5,47
CULLY,454200,484353,206,7,34,25,23,11,0,1,1555,312,1958,1019,13671,4356,36,57245,54,25,5,30,30.4,2.8,15.6,2.9,48.3,18.4,9.7,74.6,25.4,72.5,10.4,3.8,0.4,14.7,197,3,11,9,19,74,318,215,118,3,17,44,68.5,4.36,3.14,1.39,0.09,3,16,4,58
DOWNTOWN,367500,427671,169,1,7,73,169,100,0,0,1073,398,1982,1148,12242,12985,41,41344,17,31,8,3,21.8,3.7,15.9,3.0,55.6,24.9,23.0,83.3,16.7,60.8,7.9,13.2,2.7,23.7,697,2,39,32,96,259,1708,192,935,12,71,176,203.7,15.26,0.94,16.18,0.07,7,0,40,96
DUNTHORPE,1625000,1776965,49,-4,18,41,0,0,0,0,4755,374,1961,1596,2880,2457,32,130568,86,9,5,32,49.5,1.7,4.9,0.3,43.5,36.1,38.2,87.2,12.8,79.0,5.6,8.7,1.1,15.4,-,-,-,-,-,-,-,-,-,-,-,-,-,2.49,1.18,2.11,0.01,1,18,2,11
EAST COLUMBIA,442000,541695,20,15,36,27,0,0,0,0,2482,218,1977,1590,525,234,44,72846,64,11,1,19,43.4,2.6,11.8,3.5,38.6,26.1,9.5,75.1,24.9,83.5,1.7,2.4,0.1,4.2,72,2,4,8,28,43,282,131,76,3,217,869,58.4,8.52,2.24,3.8,0.23,10,18,2,14
EASTMORELAND,925000,957755,101,17,26,14,0,0,0,0,3118,307,1945,1688,6940,6247,38,114468,72,7,5,34,54.1,4.3,8.8,1.4,31.4,33.4,33.8,89.4,10.6,80.6,2.8,6.6,0.6,10.0,5,0,0,2,0,13,79,20,15,0,1,16,18.0,2.64,1.11,2.38,0.03,3,14,6,53
ELIOT,575000,600191,95,7,41,41,28,29,0,0,2068,290,1937,1324,4647,5497,35,63538,22,18,5,9,23.4,4.1,15.1,1.5,55.7,37.6,23.3,90.5,9.5,66.6,4.6,9.7,0.6,14.9,190,3,9,13,17,93,664,142,167,2,50,193,168.0,6.91,0.85,8.18,0.01,1,8,10,89
FAR SOUTHWEST,555000,622192,47,1,31,14,3,6,0,0,2146,290,1990,1657,2199,3693,45,87189,69,9,4,19,51.8,4.9,14.3,0.2,28.9,36.6,25.3,91.1,8.9,80.4,7.3,4.7,0.3,12.3,3,0,1,3,0,3,15,9,14,0,3,12,15.1,1.86,0.6,3.13,0.02,3,16,6,38
FOREST PARK*,999000,1072322,40,9,19,51,0,0,0,0,3888,276,1981,1468,3145,172,46,143707,83,5,3,32,62.5,2.7,10.3,0.0,24.5,33.7,38.5,83.6,16.4,89.2,3.4,3.0,1.1,7.5,16,0,3,0,0,5,132,8,36,0,6,46,0.8,19.62,10.26,1.91,7.55,74,24,3,4
FOSTER-POWELL,479000,483534,159,12,34,17,3,2,1,0,1640,295,1929,1365,8791,9878,37,68668,60,18,3,30,35.0,5.3,16.8,1.5,41.5,27.7,16.5,79.8,20.2,84.2,2.4,2.1,1.9,6.4,94,0,5,2,18,54,175,98,100,4,14,37,110.1,1.8,0.89,2.02,0.01,1,18,6,86
GLENFAIR,400000,409211,29,18,46,23,0,0,0,0,1558,263,1977,1108,3271,10308,33,48195,36,27,8,41,31.8,5.1,15.8,3.1,44.1,14.0,7.3,64.7,35.3,85.5,1.1,4.3,0.7,6.1,159,0,0,2,0,12,61,46,50,0,49,36,145.0,1.85,0.32,5.84,0.01,2,20,3,61
GOOSE HOLLOW,365000,465002,112,11,3,60,97,87,0,1,1269,367,1977,1216,5136,15143,38,71408,29,24,6,9,30.7,3.2,14.4,1.0,50.7,38.7,26.8,85.0,15.0,66.5,3.6,9.8,2.4,15.8,113,2,7,9,13,83,309,71,164,1,28,90,209.4,1.34,0.34,3.96,0.0,1,6,15,94
